StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q379,Q380,Q381,Q382,Q383,Consent,C_One_Office,C_One_Know,C_One_Day,C_One_Struc,Q333_First Click,Q333_Last Click,Q333_Page Submit,Q333_Click Count,Micro1_One_Exp_A1_1,Micro1_One_Exp_A2_1,Micro2_One_Exp_A2_1,Micro2_One_Exp_A1_1,Q386_First Click,Q386_Last Click,Q386_Page Submit,Q386_Click Count,Micro1_One_Cause_A1_1,Micro1_One_Cause_A2_1,Micro_One_Cause_A2_1,Micro_One_Cause_A1_1,C_One_Freq,C_Sep_Office,C_Sep_Know,C_Sep_Day,C_Sep_Struc,Q397_First Click,Q397_Last Click,Q397_Page Submit,Q397_Click Count,Micro1_Sep_Exp_A1_1,Micro1_Sep_Exp_A2_1,Micro2_Sep_Exp_A2_1,Micro2_Sep_Exp_A1_1,Q404_First Click,Q404_Last Click,Q404_Page Submit,Q404_Click Count,Micro1_Sep_Cause_A1_1,Micro1_Sep_Cause_A2_1,Micro2_Sep_Cause_A2_1,Micro2_Sep_Cause_A1_1,C_Sep_Freq,C_One_Office,C_One_Know,C_One_Day,C_One_Struc,Q415_First Click,Q415_Last Click,Q415_Page Submit,Q415_Click Count,Coffee1_One_Exp_A1_1,Coffee1_One_Exp_A2_1,Coffee2_One_Exp_A2_1,Coffee2_One_Exp_A1_1,Q418_First Click,Q418_Last Click,Q418_Page Submit,Q418_Click Count,Coffee1_One_Cause_A1_1,Coffee1_One_Cause_A2_1,Coffee2_One_Cause_A2_1,Coffee2_One_Cause_A1_1,C_One_Freq,C_Sep_Office,C_Sep_Know,C_Sep_Day,C_Sep_Struc,Q428_First Click,Q428_Last Click,Q428_Page Submit,Q428_Click Count,Coffee1_Sep_Exp_A1_1,Coffee1_Sep_Exp_A2_1,Coffee2_Sep_Exp_A2_1,Coffee2_Sep_Exp_A1_1,Q433_First Click,Q433_Last Click,Q433_Page Submit,Q433_Click Count,Coffee1_Sep_Cause_A1_1,Coffee1_Sep_Cause_A2_1,Coffee2_Sep_Cause_A2_1,Coffee2_Sep_Cause_A1_1,C_Sep_Freq,Age,Gender,Explanation,Suggestions,Condition,Order
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Are you a bot?

 

Liam says to Emma: ""It's a beautiful day, isn't it?""
 

Who is Liam talking to? (case sensitive)","Are you a bot?

 

Mia says to Benjamin: ""It's a beautiful day, isn't it?""
 

Who is Mia talking to? (case sensitive)","Are you a bot?

 

William says to Ava: ""It's a beautiful day, isn't it?""
 

Who is William talking to? (case sensitive)","Are you a bot?

 

Amelia says to Noah: ""It's a beautiful day, isn't it?""
 

Who is Amelia talking to? (case sensitive)","Are you a bot?

 

Evelyn says to James: ""It's a beautiful day, isn't it?""
 

Who is Evelyn talking to? (case sensitive)","Causal Judgements in everyday contexts

This study has been approved by the Ethics Chair for the ""UCL Psychology and Language Science"" Research Department. Project ID No: CPB/2014/006 .

 
Participant's Statement","From Monday to Thursday, Tom and Ben work ...","Because of their office situation, Tom and Ben ...","Because of their office situation, Tom and Ben ...",The use of how many microwaves does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Tom    expects  Ben     to use the microwave on Friday.,(2) Ben    expects  Tom     to use the microwave on Friday.,(1) Ben    expects  Tom     to use the microwave on Friday.,(2)  Tom    expects  Ben     to use the microwave on Friday.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Tom    has caused the power failure.,(2) Ben   has caused the power failure.,(1) Ben   has caused the power failure.,(2)  Tom    has caused the power failure.,Who used a microwave frequently (rather than infrequently) this week?,"From Monday to Thursday, Eddie and Neil work ...","Because of their office situation, Eddie and Neil ...","Because of their office situation, Eddie and Neil ...",The use of how many microwaves does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Eddie      expects  Neil      to use the microwave on Friday.,(2)  Neil    expects  Eddie    to use the microwave on Friday.,(1)  Neil    expects  Eddie    to use the microwave on Friday.,(2)  Eddie      expects  Neil      to use the microwave on Friday.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Eddie  has caused the power failure.,(2) Neil   has caused the power failure.,(1) Neil   has caused the power failure.,(2)  Eddie  has caused the power failure.,Who used a microwave frequently (rather than infrequently) this week?,"From Monday to Thursday, Dan and Bob work ...","Because of their office situation, Dan and Bob ...","Because of their office situation, Dan and Bob ...",The use of how many coffee machines does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Dan    expects  Bob     to make coffee on Friday.,(2) Bob    expects  Dan    to make coffee on Friday.,(1) Bob    expects  Dan    to make coffee on Friday.,(2)  Dan    expects  Bob     to make coffee on Friday.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  Dan    has caused the power failure.,(2) Bob    has caused the power failure.,(1) Bob    has caused the power failure.,(2)  Dan    has caused the power failure.,Who used a coffee machine frequently (rather than infrequently) this week?,"From Monday to Thursday, Henry and James work ...","Because of their office situation, Henry and James ...","Because of their office situation, Henry and James ...",The use of how many coffee machines does it take to produce a power failure on Friday?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  James      expects  Henry    to make coffee on Friday.,(2)  Henry   expects  James    to make coffee on Friday.,(1)  Henry   expects  James    to make coffee on Friday.,(2)  James      expects  Henry    to make coffee on Friday.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,(1)  James  has caused the power failure.,(2) Henry    has caused the power failure.,(1)  James  has caused the power failure.,(2) Henry    has caused the power failure.,Who used a coffee machine frequently (rather than infrequently) this week?,"What is your age? (U.S. Census, 9 Categories)",What is your gender?,Please provide a (very brief!) explanation of how you made your judgements with regards to the two videos.,"Thank you for your participation.
If you experienced any issues with the survey/the videos
AND/OR
you have any suggestions for improvements or thoughts you would like to share, please comment below.
Then click on the arrow to receive your payment code.",Condition,Order
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID379_TEXT""}","{""ImportId"":""QID380_TEXT""}","{""ImportId"":""QID381_TEXT""}","{""ImportId"":""QID382_TEXT""}","{""ImportId"":""QID383_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID366""}","{""ImportId"":""QID367""}","{""ImportId"":""QID372""}","{""ImportId"":""QID368""}","{""ImportId"":""QID333_FIRST_CLICK""}","{""ImportId"":""QID333_LAST_CLICK""}","{""ImportId"":""QID333_PAGE_SUBMIT""}","{""ImportId"":""QID333_CLICK_COUNT""}","{""ImportId"":""QID334_1""}","{""ImportId"":""QID336_1""}","{""ImportId"":""QID440_1""}","{""ImportId"":""QID439_1""}","{""ImportId"":""QID386_FIRST_CLICK""}","{""ImportId"":""QID386_LAST_CLICK""}","{""ImportId"":""QID386_PAGE_SUBMIT""}","{""ImportId"":""QID386_CLICK_COUNT""}","{""ImportId"":""QID389_1""}","{""ImportId"":""QID390_1""}","{""ImportId"":""QID443_1""}","{""ImportId"":""QID442_1""}","{""ImportId"":""QID205""}","{""ImportId"":""QID392""}","{""ImportId"":""QID393""}","{""ImportId"":""QID394""}","{""ImportId"":""QID395""}","{""ImportId"":""QID397_FIRST_CLICK""}","{""ImportId"":""QID397_LAST_CLICK""}","{""ImportId"":""QID397_PAGE_SUBMIT""}","{""ImportId"":""QID397_CLICK_COUNT""}","{""ImportId"":""QID284_1""}","{""ImportId"":""QID294_1""}","{""ImportId"":""QID455_1""}","{""ImportId"":""QID454_1""}","{""ImportId"":""QID404_FIRST_CLICK""}","{""ImportId"":""QID404_LAST_CLICK""}","{""ImportId"":""QID404_PAGE_SUBMIT""}","{""ImportId"":""QID404_CLICK_COUNT""}","{""ImportId"":""QID435_1""}","{""ImportId"":""QID436_1""}","{""ImportId"":""QID452_1""}","{""ImportId"":""QID451_1""}","{""ImportId"":""QID377""}","{""ImportId"":""QID410""}","{""ImportId"":""QID411""}","{""ImportId"":""QID412""}","{""ImportId"":""QID413""}","{""ImportId"":""QID415_FIRST_CLICK""}","{""ImportId"":""QID415_LAST_CLICK""}","{""ImportId"":""QID415_PAGE_SUBMIT""}","{""ImportId"":""QID415_CLICK_COUNT""}","{""ImportId"":""QID344_1""}","{""ImportId"":""QID346_1""}","{""ImportId"":""QID458_1""}","{""ImportId"":""QID457_1""}","{""ImportId"":""QID418_FIRST_CLICK""}","{""ImportId"":""QID418_LAST_CLICK""}","{""ImportId"":""QID418_PAGE_SUBMIT""}","{""ImportId"":""QID418_CLICK_COUNT""}","{""ImportId"":""QID420_1""}","{""ImportId"":""QID421_1""}","{""ImportId"":""QID446_1""}","{""ImportId"":""QID445_1""}","{""ImportId"":""QID233""}","{""ImportId"":""QID423""}","{""ImportId"":""QID424""}","{""ImportId"":""QID425""}","{""ImportId"":""QID426""}","{""ImportId"":""QID428_FIRST_CLICK""}","{""ImportId"":""QID428_LAST_CLICK""}","{""ImportId"":""QID428_PAGE_SUBMIT""}","{""ImportId"":""QID428_CLICK_COUNT""}","{""ImportId"":""QID319_1""}","{""ImportId"":""QID321_1""}","{""ImportId"":""QID461_1""}","{""ImportId"":""QID460_1""}","{""ImportId"":""QID433_FIRST_CLICK""}","{""ImportId"":""QID433_LAST_CLICK""}","{""ImportId"":""QID433_PAGE_SUBMIT""}","{""ImportId"":""QID433_CLICK_COUNT""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID448_1""}","{""ImportId"":""QID449_1""}","{""ImportId"":""QID437""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID185_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""Condition""}","{""ImportId"":""Order""}"
02/11/2019 19:16,02/11/2019 19:18,0,23.81.55.202,100,149,1,02/11/2019 19:18,R_cA4v6nYqP5VGvex,,,,,33.27270508,-111.8277969,anonymous,EN,,,dont know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2019 19:14,02/11/2019 19:20,0,66.66.146.234,100,315,1,02/11/2019 19:20,R_3PBqOu0fBT34yn8,,,,,43.22070313,-77.59919739,anonymous,EN,Emma,,,,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,40.105,40.105,40.958,1,,,6,2,14.813,14.813,15.54,1,,,6,3,1,2,2,2,1,35.774,35.774,36.525,1,,,3,3,19.041,19.041,20.053,1,,,5,5,1,42,1,Based somewhat on what was doneduring the weeks and mainly on what the others expecgted,,3,2
02/11/2019 19:14,02/11/2019 19:20,0,71.115.145.137,100,382,1,02/11/2019 19:20,R_9mMbQV3Z4AUCmA1,,,,,43.15710449,-76.32800293,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0,47.238,0,,,6,4,14.074,14.074,14.379,1,,,5,4,1,2,2,2,2,0,0,35.566,0,,,5,3,0,0,14.476,0,,,5,5,2,29,1,The one that made the coffee most frequently likely would continue that trend and the other person should know for the most part.,,4,2
02/11/2019 19:14,02/11/2019 19:21,0,99.68.56.159,100,412,1,02/11/2019 19:21,R_2QxH1ClZbgW66uu,,,,,37.82229614,-83.78530121,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",1,1,1,1,0,0,47.786,0,1,7,,,0,0,11.613,0,6,7,,,1,2,2,2,1,0,0,35.797,0,1,1,,,0,0,19.49,0,7,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,If they knew what the other persons habits were and if they expected the other to use the microwave. ,None,2,1
02/11/2019 19:14,02/11/2019 19:22,0,99.155.177.238,100,462,1,02/11/2019 19:22,R_2r7NmnwA9u6GkXT,,,,,39.27330017,-94.56939697,anonymous,EN,,,,,James,"4,5,6,7,8,9",1,1,1,2,0,0,49.692,0,1,7,,,0,0,12.435,0,2,6,,,1,1,2,2,2,0,0,34.32,0,2,5,,,0,0,21.771,0,3,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,"If they are in different offices during the week, neither of them can know the other one will use the microwave and therefore they share similar blame. 

If they both use the same office M-Th, then they know each other's use of the microwave. Therefore, they should know that Tom would use the microwave every day.",,2,1
02/11/2019 19:16,02/11/2019 19:22,0,172.11.220.144,100,365,1,02/11/2019 19:22,R_1LhZqsPPDYNGOgV,,,,,39.64379883,-84.17430115,anonymous,EN,Emma,,,,,"4,5,6,7,8,9",1,1,2,2,0,0,32.401,0,1,7,,,0,0,9.677,0,4,4,,,1,2,2,2,2,0,0,32.173,0,4,4,,,0,0,9.216,0,4,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,1,I decided based on what I saw.,,1,1
02/11/2019 19:15,02/11/2019 19:22,0,76.98.150.171,100,452,1,02/11/2019 19:22,R_1dvktmMBe38aCuQ,,,,,40.08999634,-75.03630066,anonymous,EN,,,,,James,"4,5,6,7,8,9",1,1,1,2,10.946,10.946,43.935,1,2,7,,,0,0,12.824,0,4,4,,,1,2,2,2,2,0,0,32.402,0,4,4,,,0,0,16.816,0,4,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,"For the first set, the two coworkers could've previously commented upon their food plans for Friday in order to avoid a power outage. I would say they are equally to blame if they did not communicate this to each other since they already speak frequently. For the second set, neither coworker is to blame because they have no line of communication during any day and would never know if the other would be using the microwave or to set up a schedule.",No comment. Thank you.,1,1
02/11/2019 19:14,02/11/2019 19:22,0,71.50.35.97,100,487,1,02/11/2019 19:22,R_tEV7oXhf3QhhQ1b,,,,,40.10830688,-76.51029968,anonymous,EN,,,,Noah,,"4,5,6,7,8,9",1,1,1,2,0,0,40.252,0,,,7,1,0,0,13.146,0,,,7,7,1,2,2,2,1,0,0,36.782,0,,,7,1,0,0,16.399,0,,,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,I made my judgements based on the frequency of microwave use Mon-Thurs.,,2,2
