StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q379,Q380,Q381,Q382,Q383,Consent_4,Consent_5,Consent_6,Consent_7,Consent_8,Consent_9,C_KnowMicro_Office,C_KnowMicro_Know,C_KnowMicro_Day,C_KnowMicro_Struc,Q50_First_Click,Q50_Last_Click,Q50_Page_Submit,Q50_Click_Count,Micro1_Know_Exp_A1_1,Micro1_Know_Ep_A1_7,Micro1_Know_Ep_A1_8,Micro1_Know_Ep_A1_6,Micro1_Know_Ep_A1_1,Micro1_Know_Ep_A1_4,Micro1_Know_Exp_A2_1,Micro1_Know_Ep_A2_7,Micro1_Know_Ep_A2_8,Micro1_Know_Ep_A2_6,Micro1_Know_Ep_A2_1,Micro1_Know_Ep_A2_4,Micro2_Know_Exp_A2_1,Micro2_Know_Ep_A2_7,Micro2_Know_Ep_A2_8,Micro2_Know_Ep_A2_6,Micro2_Know_Ep_A2_1,Micro2_Know_Ep_A2_4,Micro2_Know_Exp_A1_1,Micro2_Know_Ep_A1_7,Micro2_Know_Ep_A1_8,Micro2_Know_Ep_A1_6,Micro2_Know_Ep_A1_1,Micro2_Know_Ep_A1_4,C_KnowMicro_Freq_1,C_KnowMicro_Freq_2,C_NoMicro_Office,C_NoMicro_Know,C_NoMicro_Day,C_NoMicro_Struc,Q333_First_Click,Q333_Last_Click,Q333_Page_Submit,Q333_Click_Count,Micro1_No_Exp_A1_1,Micro1_No_Ep_A1_7,Micro1_No_Ep_A1_8,Micro1_No_Ep_A1_6,Micro1_No_Ep_A1_1,Micro1_No_Ep_A1_4,Micro1_No_Exp_A2_1,Micro1_No_Ep_A2_7,Micro1_No_Ep_A2_8,Micro1_No_Ep_A2_6,Micro1_No_Ep_A2_1,Micro1_No_Ep_A2_4,Micro2_No_Exp_A2_1,Micro2_No_Ep_A2_7,Micro2_No_Ep_A2_8,Micro2_No_Ep_A2_6,Micro2_No_Ep_A2_1,Micro2_No_Ep_A2_4,Micro2_No_Exp_A1_1,Micro2_No_Ep_A1_7,Micro2_No_Ep_A1_8,Micro2_No_Ep_A1_6,Micro2_No_Ep_A1_1,Micro2_No_Ep_A1_4,C_NoMicro_Freq_1,C_NoMicro_Freq_2,C_KnowCoffee_Office,C_KnowCoffee_Know,C_KnowCoffee_Day,C_KnowCoffee_Struc,Q51_First_Click,Q51_Last_Click,Q51_Page_Submit,Q51_Click_Count,Coffee1_Know_Exp_A1_1,Coffee1_Know_Ep_A1_7,Coffee1_Know_Ep_A1_8,Coffee1_Know_Ep_A1_6,Coffee1_Know_Ep_A1_1,Coffee1_Know_Ep_A1_4,Coffee1_Know_Exp_A2_1,Coffee1_Know_Ep_A2_7,Coffee1_Know_Ep_A2_8,Coffee1_Know_Ep_A2_6,Coffee1_Know_Ep_A2_1,Coffee1_Know_Ep_A2_4,Coffee2_Know_Exp_A2_1,Coffee2_Know_Ep_A2_7,Coffee2_Know_Ep_A2_8,Coffee2_Know_Ep_A2_6,Coffee2_Know_Ep_A2_1,Coffee2_Know_Ep_A2_4,Coffee2_Know_Exp_A1_1,Coffee2_Know_Ep_A1_7,Coffee2_Know_Ep_A1_8,Coffee2_Know_Ep_A1_6,Coffee2_Know_Ep_A1_1,Coffee2_Know_Ep_A1_4,C_KnowCoffee_Freq_1,C_KnowCoffee_Freq_2,C_NoCoffee_Office,C_NoCoffee_Know,C_NoCoffee_Day,C_NoCoffee_Struc,Q358_First_Click,Q358_Last_Click,Q358_Page_Submit,Q358_Click_Count,Coffee1_No_Exp_A1_1,Coffee1_No_Ep_A1_7,Coffee1_No_Ep_A1_8,Coffee1_No_Ep_A1_6,Coffee1_No_Ep_A1_1,Coffee1_No_Ep_A1_4,Coffee1_No_Exp_A2_1,Coffee1_No_Ep_A2_7,Coffee1_No_Ep_A2_8,Coffee1_No_Ep_A2_6,Coffee1_No_Ep_A2_1,Coffee1_No_Ep_A2_4,Coffee2_No_Exp_A2_1,Coffee2_No_Ep_A2_7,Coffee2_No_Ep_A2_8,Coffee2_No_Ep_A2_6,Coffee2_No_Ep_A2_1,Coffee2_No_Ep_A2_4,Coffee2_No_Exp_A1_1,Coffee2_No_Ep_A1_7,Coffee2_No_Ep_A1_8,Coffee2_No_Ep_A1_6,Coffee2_No_Ep_A1_1,Coffee2_No_Ep_A1_4,C_NoCoffee_Freq_1,C_NoCoffee_Freq_2,Age,Gender,Condition,QuestionOrder
10/12/2019 18:05,10/12/2019 18:10,0,72.94.82.226,100,306,1,10/12/2019 18:10,R_3034ESZZG9peROt, , , , ,40.04589844,-75.53070068,anonymous,EN, , ,Ava, , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,0,0,60.717,0, , , , , , , , , , , , ,7,6,5,4,4,4,3,3,3,3,3,3,1, ,2,2,4,2,0,0,39.898,0, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,1, ,31,2,3,2
10/12/2019 18:06,10/12/2019 18:10,0,24.23.115.160,100,268,1,10/12/2019 18:10,R_UJDTWE69KFVcSuR, , , , ,40.44050598,-79.99559784,anonymous,EN, , , ,Noah, ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,45.351,45.351,45.918,1, , , , , , , , , , , , ,6,6,3,3,3,4,3,3,3,3,3,3,1, ,2,2,4,2,49.889,49.889,50.215,1, , , , , , , , , , , , ,4,4,4,4,4,4,3,4,4,4,4,4,1, ,38,1,4,2
10/12/2019 18:05,10/12/2019 18:10,0,207.189.22.28,100,301,1,10/12/2019 18:10,R_21EpVCgnfvLs8r4, , , , ,39.95979309,-75.16159821,anonymous,EN, ,Benjamin, , , ,1,1,1,1,1,1,1,2,1,2,0,0,46.165,0,7,7,5,2,3,3,6,4,5,2,5,4, , , , , , , , , , , , ,1, ,2,1,1,2,0,0,42.999,0,5,5,5,3,5,5,6,4,3,2,4,4, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29,2,1,1
10/12/2019 18:05,10/12/2019 18:10,0,47.34.155.174,100,318,1,10/12/2019 18:10,R_2PjaFBwTYhXFsOc, , , , ,34.55630493,-117.3527985,anonymous,EN, , , , ,James,1,1,1,1,1,1,1,1,1,2,0,0,43.517,0, , , , , , , , , , , , ,7,7,7,4,4,7,1,1,1,1,1,1,1, ,2,2,2,2,0,0,41.52,0, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,2,1,2
10/12/2019 18:11,10/12/2019 18:11,0,45.4.199.62,100,36,1,10/12/2019 18:11,R_1CHoVU6yc96pqt6, , , , ,40.75030518,-74.00140381,anonymous,EN, , , ,noah, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10/12/2019 18:05,10/12/2019 18:12,0,69.248.74.162,100,400,1,10/12/2019 18:12,R_3qPuk3D8W6BtWMQ, , , , ,39.73539734,-74.9838028,anonymous,EN,Emma, , , , ,1,1,1,1,1,1,1,1,1,2,0,0,42.337,0,1,1,1,1,1,1,6,7,6,5,5,6, , , , , , , , , , , , ,1, ,2,2,2,2,0,0,48.719,0,1,1,1,1,1,1,2,1,1,1,1,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30,1,2,1
10/12/2019 18:07,10/12/2019 18:12,0,99.29.117.192,100,320,1,10/12/2019 18:12,R_2uPuNFINLJn3wSD, , , , ,35.71780396,-78.84279633,anonymous,EN,Emma, , , , ,1,1,1,1,1,1,1,1,1,2,0,0,43.469,0, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,2,2,43.432,43.432,43.857,1, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28,1,1,2
10/12/2019 18:06,10/12/2019 18:13,0,68.188.252.60,100,423,1,10/12/2019 18:13,R_3KpjRzzgAIUOcEV, , , , ,43.43429565,-84.00910187,anonymous,EN, , , ,Noah, ,1,1,1,1,1,1,1,1,1,2,0,0,47.767,0, , , , , , , , , , , , ,5,4,1,1,1,1,4,4,1,1,1,1,1, ,1,2,2,2,0,0,44.936,0, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,1,2,2
10/12/2019 18:06,10/12/2019 18:13,0,50.239.137.78,100,405,1,10/12/2019 18:13,R_3oz2NLaCMOEVkZR, , , , ,36.40280151,-97.86229706,anonymous,EN, , , ,Noah, ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,0,0,63.26,0,6,6,6,6,6,6,6,6,6,6,7,7, , , , , , , , , , , , ,1, ,1,1,2,1,0,0,80.125,0,6,6,5,6,5,6,6,6,5,6,6,6, , , , , , , , , , , , ,1, ,47,1,3,1
10/12/2019 18:07,10/12/2019 18:13,0,68.199.8.251,100,390,1,10/12/2019 18:13,R_2Pu7bG8IJkNWPZo, , , , ,40.58279419,-73.95320129,anonymous,EN,Emma, , , , ,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,2,0,0,57.056,0, , , , , , , , , , , , ,1,2,1,1,1,1,6,6,1,1,1,6, ,1,2,2,4,2,0,0,90.103,0, , , , , , , , , , , , ,1,1,1,1,1,1,1,2,1,1,1,1,1, ,23,1,4,2
